what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310117549597
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1310117557581
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310117571597
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310118302472
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1310118304581
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310118307253
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310118352925
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.export",1310118353066
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310118356628
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310119766769
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1310119776534
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1310119778987
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1310119781237
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1310119783878
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1310119816534
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1310119826425
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1310119830472
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310119831581
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310119869847
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1310119870003
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1310119878487
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1310119881253
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1310119886034
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310119887987
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310119901644
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.export",1310119901737
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1310119907019
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1310119921128
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310119922941
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310119954206
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.export",1310119954316
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1310119955159
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1310119957300
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310119960550
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310119981847
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.export",1310119981941
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310119988425
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310119989253
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310120116362
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1310120126081
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310120148862
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310120324753
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1310120330331
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1310120362097
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1310120362644
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1310120363675
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310120381331
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310120381472
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1310120390144
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310120402144
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310120403878
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310120420050
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310120428441
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.export",1310120428566
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310120432566
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310120440753
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310120885284
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310120903034
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310120903050
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310120903175
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310120935253
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1310120940925
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1310120959472
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1310120971441
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1310120971941
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1310120971987
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1310120972003
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1310120972034
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1310120972097
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1310120972112
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1310120972144
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1310120972191
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1310120972222
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1310120972253
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1310120972284
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1310120972316
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1310120972347
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1310120972378
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1310120972409
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1310120972441
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1310120972487
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1310120972519
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1310120973847
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1310120974222
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1310120974612
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1310120974941
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1310120975175
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1310120975441
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1310120975659
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1310120975847
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1310120976612
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1310120977003
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1310121005425
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1310121012144
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310121019409
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310121027784
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.export",1310121027894
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310121031487
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310121264566
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1310121271003
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310121277222
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310121307550
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310121310659
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310121337175
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310121357612
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1310121362097
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310121376550
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310121378722
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310121379362
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310121406534
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1310121411862
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1310121436425
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310121439316
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310121446816
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.export",1310121446909
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310121459769
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310121521237
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1310121529566
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310121534831
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310121633347
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1310121635909
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310121640300
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310121651816
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.export",1310121651987
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310121656112
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310121670894
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310121747175
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1310121750550
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310121772691
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310126998362
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1310127043112
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1310127045378
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1310127109534
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1310127110222
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1310127111378
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1310127133472
