what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310363980879
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.export",1310363980973
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310363983942
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310364232176
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310364288176
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310364288192
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310364288286
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310364294895
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310364302832
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310364302879
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310364302942
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310364357411
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1310364388098
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1310364391598
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1310364394332
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1310364396536
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1310364399270
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1310364404286
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1310364536911
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310364538707
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310364545239
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.export",1310364545332
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310364552036
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310364708957
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310364711989
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310364725129
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.export",1310364725254
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310364727020
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310364735879
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310364736926
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310364756707
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310364758879
